Model,Run,Algorithm,Alpha,Seed,Final_Acc,Best_Acc,Final_F1,Best_F1,Conv_Round
MLP,MLP_FedAvg_a1.0,FedAvg,1.0,123,0.8957405459073869,0.8972636935201351,0.8758877585526325,0.8776538353223766,4
MLP,MLP_FedProx_a1.0,FedProx,1.0,123,0.8806529226099981,0.893893024265998,0.8591127719490033,0.8744541639232941,3
MLP,MLP_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,123,0.8973793399129549,0.8973793399129549,0.8777959074029258,0.8777959074029258,2
MLP,MLP_FedAvg_a0.5,FedAvg,0.5,123,0.8968293143861292,0.8968293143861292,0.8771939665850964,0.8771939665850964,3
MLP,MLP_FedProx_a0.5,FedProx,0.5,123,0.876876080659128,0.8936278837556307,0.8548978368836466,0.8738638602364671,4
MLP,MLP_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,123,0.8933768464639,0.8944881800924607,0.8735507842708948,0.8748985604066931,5
MLP,MLP_FedAvg_a0.1,FedAvg,0.1,123,0.873389765012171,0.873389765012171,0.8509141305870238,0.8509141305870238,20
MLP,MLP_FedProx_a0.1,FedProx,0.1,123,0.8340530675910857,0.8599127292830769,0.8070358618848629,0.8367957463323555,19
MLP,MLP_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,123,0.861878717961013,0.8740780020816351,0.8420779142475525,0.8523245901888349,17
CNN,CNN_Centralized,Centralized,-,123,0.8976501217107768,0.8981183485695106,0.8780422076344518,0.8785045343400135,2
CNN,CNN_FedAvg_IID,FedAvg,IID,123,0.8958026000693878,0.8958026000693878,0.8761535869073622,0.8761699587073789,8
CNN,CNN_FedAvg_a1.0,FedAvg,1.0,123,0.8935291612251748,0.8965528913008527,0.8733705321439301,0.8769109096540166,8
CNN,CNN_FedProx_a1.0,FedProx,1.0,123,0.8949056353641028,0.8949056353641028,0.875168544742673,0.875168544742673,13
CNN,CNN_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,123,0.8948181954085561,0.8958336271503883,0.8751852461500964,0.8761540649398486,10
CNN,CNN_FedAvg_a0.5,FedAvg,0.5,123,0.8296105537205701,0.8919890897500627,0.7888989485008704,0.8724135465777979,9
CNN,CNN_FedProx_a0.5,FedProx,0.5,123,0.8259183310815195,0.8879301834264616,0.7805256811340531,0.8679808296942759,14
CNN,CNN_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,123,0.895277960336108,0.895277960336108,0.8754438185618739,0.8754438185618739,11
CNN,CNN_FedAvg_a0.1,FedAvg,0.1,123,0.7811321499792683,0.7946261095707262,0.7343576192578962,0.7676053583539388,25
CNN,CNN_FedProx_a0.1,FedProx,0.1,123,0.7411410632134465,0.7429434545551986,0.6817962908666477,0.6858994396303875,14
CNN,CNN_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,123,0.7888381486422832,0.8109040445210406,0.7563939502143665,0.7886248295997252,18
MLP,MLP_Centralized,Centralized,-,7,0.8978532080591433,0.8979547512333265,0.8782894751959727,0.8783815414032076,1
MLP,MLP_FedAvg_IID,FedAvg,IID,7,0.8974921656620474,0.8974921656620474,0.8778252350266506,0.8778252350266506,2
MLP,MLP_FedAvg_a1.0,FedAvg,1.0,7,0.8957602904134782,0.8958364477941155,0.8762074924722684,0.8762074924722684,3
MLP,MLP_FedProx_a1.0,FedProx,1.0,7,0.8901866984083108,0.8901866984083108,0.8703172122644737,0.8703172122644737,6
MLP,MLP_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,7,0.8947674238214646,0.8969534227101309,0.8753441008316031,0.877336100106118,3
MLP,MLP_FedAvg_a0.5,FedAvg,0.5,7,0.8760468114032984,0.8879386453576436,0.8537646329806243,0.8675769251867045,4
MLP,MLP_FedProx_a0.5,FedProx,0.5,7,0.862411819625475,0.8873999024057271,0.8373303328522322,0.8673094071555902,6
MLP,MLP_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,7,0.8800690493584445,0.8927422016252549,0.8585881624190482,0.8733225441584952,4
MLP,MLP_FedAvg_a0.1,FedAvg,0.1,7,0.7890525175655588,0.7890525175655588,0.7430505238665024,0.7472902835538406,11
MLP,MLP_FedProx_a0.1,FedProx,0.1,7,0.7562794580979271,0.7717337650798666,0.7019807038410065,0.7138838417815344,7
MLP,MLP_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,7,0.82138555661173,0.8243754389626801,0.7991177176795229,0.8015268821909621,20
CNN,CNN_Centralized,Centralized,-,7,0.8980478324763278,0.8980478324763278,0.8784703880924121,0.8784703880924121,5
CNN,CNN_FedAvg_IID,FedAvg,IID,7,0.8900146391409447,0.8947561412465553,0.8703152178715471,0.8749268582986356,8
CNN,CNN_FedAvg_a1.0,FedAvg,1.0,7,0.8338697257488104,0.8968321350298565,0.7909084426908065,0.8771952614341786,7
CNN,CNN_FedProx_a1.0,FedProx,1.0,7,0.8921949967421565,0.8923050018475216,0.8725566681252265,0.8725566681252265,10
CNN,CNN_FedTrimmedAvg_a1.0,FedTrimmedAvg,1.0,7,0.8956925949640226,0.8958251652192063,0.8758356096610899,0.8760799466655954,8
CNN,CNN_FedAvg_a0.5,FedAvg,0.5,7,0.8911457172755967,0.8927591254876188,0.8716408007406965,0.8729346249059912,10
CNN,CNN_FedProx_a0.5,FedProx,0.5,7,0.8183166962364151,0.8784584617901497,0.7780611293672579,0.857240475867735,17
CNN,CNN_FedTrimmedAvg_a0.5,FedTrimmedAvg,0.5,7,0.851400026514051,0.8883532799855584,0.8188778725171734,0.8683512513020593,12
CNN,CNN_FedAvg_a0.1,FedAvg,0.1,7,0.8034885721619388,0.8043545097862234,0.7763026975571466,0.7817169473633826,24
CNN,CNN_FedProx_a0.1,FedProx,0.1,7,0.6850102530399488,0.739578426588516,0.6055900964715449,0.6837721821982554,12
CNN,CNN_FedTrimmedAvg_a0.1,FedTrimmedAvg,0.1,7,0.7634749202462986,0.7664591613097941,0.7366185803240888,0.7403290374203433,23
